nohup: ignoring input
Using: cuda
[train] Loaded 7568 samples (Pe=[0, 10])
[dev] Loaded 932 samples (Pe=[0, 10])
[test] Loaded 968 samples (Pe=[0, 10])
---- Training ----
Epoch 111/300 | Train=0.00076 | Dev=0.00089
Epoch 112/300 | Train=0.00073 | Dev=0.00085
Epoch 113/300 | Train=0.00074 | Dev=0.00092
Epoch 114/300 | Train=0.00074 | Dev=0.00085
Epoch 115/300 | Train=0.00072 | Dev=0.00086
Epoch 116/300 | Train=0.00071 | Dev=0.00094
Epoch 117/300 | Train=0.00073 | Dev=0.00085
Epoch 118/300 | Train=0.00071 | Dev=0.00083
Epoch 119/300 | Train=0.00071 | Dev=0.00087
Epoch 120/300 | Train=0.00069 | Dev=0.00084
Epoch 121/300 | Train=0.00071 | Dev=0.00084
Epoch 122/300 | Train=0.00070 | Dev=0.00087
Epoch 123/300 | Train=0.00068 | Dev=0.00084
Epoch 124/300 | Train=0.00068 | Dev=0.00089
Epoch 125/300 | Train=0.00068 | Dev=0.00084
Epoch 126/300 | Train=0.00069 | Dev=0.00084
Epoch 127/300 | Train=0.00067 | Dev=0.00088
Epoch 128/300 | Train=0.00066 | Dev=0.00086
Epoch 129/300 | Train=0.00066 | Dev=0.00095
Epoch 130/300 | Train=0.00065 | Dev=0.00087
Epoch 131/300 | Train=0.00064 | Dev=0.00084
Epoch 132/300 | Train=0.00065 | Dev=0.00084
Epoch 133/300 | Train=0.00066 | Dev=0.00083
Epoch 134/300 | Train=0.00061 | Dev=0.00085
Epoch 135/300 | Train=0.00063 | Dev=0.00088
Epoch 136/300 | Train=0.00061 | Dev=0.00089
Epoch 137/300 | Train=0.00064 | Dev=0.00082
Epoch 138/300 | Train=0.00062 | Dev=0.00084
Epoch 139/300 | Train=0.00061 | Dev=0.00085
Epoch 140/300 | Train=0.00062 | Dev=0.00083
Epoch 141/300 | Train=0.00060 | Dev=0.00085
Epoch 142/300 | Train=0.00059 | Dev=0.00087
Epoch 143/300 | Train=0.00059 | Dev=0.00088
Epoch 144/300 | Train=0.00061 | Dev=0.00086
Epoch 145/300 | Train=0.00060 | Dev=0.00086
Epoch 146/300 | Train=0.00059 | Dev=0.00084
Epoch 147/300 | Train=0.00057 | Dev=0.00084
Epoch 148/300 | Train=0.00058 | Dev=0.00086
